Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso_link,-0.0082243,-0.0033535,0.25333,0,0,0,17.278,0.32569,0.0023915,0.0039643,0.30556,-0.0022536,0.15425,0,0,0,0,0,0,package://Q1/meshes/torso_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/torso_link.STL,,torso_link-2,torso_pelvis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
head_yaw_link,9.42E-05,-0.0015802,-0.0048308,0,0,0,0.8,0.0023797,-5E-07,7E-07,0.0005019,5.7E-06,0.0023519,0,0,0,0,0,0,package://Q1/meshes/head_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/head_yaw_link.STL,,head_yaw_link-2,head_yaw_pitch,axe_head_yaw,head_yaw_joint,revolute,0.011342,0,0.62019,0,0,0,torso_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
head_pitch_link,0.021366,0.0020556,0.027951,0,0,0,0.72904,0.0033823,4.5E-05,0.0004603,0.0044162,3.21E-05,0.0042325,0,0,0,0,0,0,package://Q1/meshes/head_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/head_pitch_link.STL,,head_pitch-2,head_yaw_pitch,axe_head_pitch,head_pitch_joint,revolute,0,0,0,0,0,0,head_yaw_link,0,1,0,0,0,-0.38,0.33,,,,,,,,
pelvis_link,-0.073896,1.65E-05,-0.056743,0,0,0,4.9667,0.068073,-2.7E-06,-0.0008014,0.012482,-4E-07,0.06714,0,0,0,0,0,0,package://Q1/meshes/pelvis_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/pelvis_link.STL,,pelvis_link-2,torso_pelvis,axe_torso_pelvis,pelvis_joint,revolute,0,0,0,0,0,0,torso_link,0,0,1,0,0,-1.04,1.04,,,,,,,,
L_hip_roll_link,-0.014537,3.56E-05,0.0060132,0,0,0,1.4404,0.0017914,7E-07,-8.5E-06,0.0022037,-2.8E-06,0.0028489,0,0,0,0,0,0,package://Q1/meshes/L_hip_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/L_hip_roll_link.STL,,l_hip_roll_link-2,l_hip_roll_yaw,axe_l_hip_roll,L_hip_roll_joint,revolute,-0.00010006,0.125,-0.059738,0,0,0,pelvis_link,1,0,0,0,0,-0.2,0.83,,,,,,,,
L_hip_yaw_link,-0.0005026,-0.0012996,-0.12753,0,0,0,3.6555,0.01210998,-1.1E-06,0.0001283,0.014282,-5.49E-05,0.0082634,0,0,0,0,0,0,package://Q1/meshes/L_hip_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/L_hip_yaw_link.STL,,l_hip_yaw_link-2,l_hip_roll_yaw,axe_l_hip_yaw,L_hip_yaw_joint,revolute,0,0,0,0,0,0,L_hip_roll_link,0,0,1,0,0,-0.78,0.78,,,,,,,,
L_hip_pitch_link,0.01036,0.0011742,-0.13599,0,0,0,2.0912,0.034604,-3.85E-05,0.0009532,0.033285,-3.7E-05,0.0089088,0,0,0,0,0,0,package://Q1/meshes/L_hip_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/L_hip_pitch_link.STL,,l_hip_pitch_link-2,l_hip_pitch,axe_l_hip_pitch,L_hip_pitch_joint,revolute,0,0,-0.14,0,0,0,L_hip_yaw_link,0,1,0,0,0,-0.89,1.64,,,,,,,,
L_knee_link,-0.0003397,0.0004209,-0.12717,0,0,0,7.5002,0.12621,7.56E-05,-0.0034065,0.13141,0.0002265,0.015555,0,0,0,0,0,0,package://Q1/meshes/L_knee_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/L_knee_link.STL,,l_knee_link-2,l_knee,axe_l_knee,L_knee_joint,revolute,0,0,-0.28502,0,0,0,L_hip_pitch_link,0,1,0,0,0,-0.1,2.3,,,,,,,,
L_ankle_pitch_link,-5.11E-05,0,-0.002907,0,0,0,0.046144,3.6E-06,0,0,3.9E-06,0,3.4E-06,0,0,0,0,0,0,package://Q1/meshes/L_ankle_pitch_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Q1/meshes/L_ankle_pitch_link.STL,,l_ankle_pitch_link-3,l_ankle_pitch_roll,axe_l_ankle_pitch,L_ankle_pitch_joint,revolute,0,0,-0.452,0,0,0,L_knee_link,0,1,0,0,0,-0.52,0.87,,,,,,,,
L_ankle_roll_link,0.031127,1.94E-05,-0.03235,0,0,0,0.96277,0.0007965,1.5E-06,0.0006342,0.0056095,-6E-07,0.0057684,0,0,0,0,0,0,package://Q1/meshes/L_ankle_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Q1/meshes/L_ankle_roll_link.STL,,l_ankle_roll_link-2,l_ankle_pitch_roll,axe_l_ankle_roll,L_ankle_roll_joint,revolute,0,0,0,0,0,0,L_ankle_pitch_link,1,0,0,0,0,-0.26,0.26,,,,,,,,
