mode,num_envs,num_motions,terminated_prob,time_step_total,bin_count,avg_resample_env_ids,iters,warmup,frames_per_motion,length_jitter,bin_size,alpha,use_bincount,adaptive_kernel_size,adaptive_lambda,adaptive_uniform_ratio,adaptive_alpha,total_ms,get_env_ids_ms,post_update_ms,resample_ms,dist_ms,adaptive_ms
cmd1,4096,1,0.05,2869,58,204.67,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3480406408198178,0.09864161489531398,0.12688708025962114,0.12251194566488266,0.0,0.0
cmd2,4096,1,0.05,2869,58,204.46,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3944884077645838,0.12172200251370668,0.025279956171289086,0.0,0.0,0.24748644907958806
cmd3,4096,1,0.05,2869,58,204.48,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3091699897777289,0.11484014918096364,0.0,0.11279602418653667,0.08153381641022861,0.0
cmd1,4096,1,0.2,2869,58,820.29,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.35979227046482265,0.1002417562995106,0.13408228754997253,0.12546822661533952,0.0,0.0
cmd2,4096,1,0.2,2869,58,819.335,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4434058233164251,0.12379726744256914,0.029335760045796633,0.0,0.0,0.2902727958280593
cmd3,4096,1,0.2,2869,58,819.275,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.26518500526435673,0.09877729695290327,0.0,0.09421877097338438,0.07218893733806908,0.0
cmd1,4096,1,0.6,2869,58,2457.51,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3503986122086644,0.1014317327644676,0.1417080091778189,0.10725887026637793,0.0,0.0
cmd2,4096,1,0.6,2869,58,2455.275,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3968251892365515,0.09559071040712297,0.027151332469657063,0.0,0.0,0.2740831463597715
cmd3,4096,1,0.6,2869,58,2455.24,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.26524458662606776,0.09571006870828569,0.0,0.09911623084917665,0.07041828706860542,0.0
cmd1,4096,1,0.98,2869,58,4014.04,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.35319186048582196,0.09779360494576395,0.1429533411283046,0.11244491441175342,0.0,0.0
cmd2,4096,1,0.98,2869,58,4013.705,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.426676522474736,0.10725116590037942,0.028358177514746785,0.0,0.0,0.29106717905960977
cmd3,4096,1,0.98,2869,58,4013.705,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.285178201738745,0.10598560445941985,0.0,0.10224790428765118,0.07694469299167395,0.0
cmd1,4096,50,0.05,148994,2980,204.25,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.37998644285835326,0.1163810829166323,0.140138384886086,0.12346697505563498,0.0,0.0
cmd2,4096,50,0.05,148994,2980,204.23,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.43128624092787504,0.11826479341834784,0.028903039637953043,0.0,0.0,0.28411840787157416
cmd3,4096,50,0.05,148994,2980,204.425,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.32889899681322277,0.1232217694632709,0.0,0.1103758905082941,0.09530133684165776,0.0
cmd1,4096,50,0.2,148994,2980,819.385,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.40690073161385953,0.11970627121627331,0.15003454638645053,0.1371599140111357,0.0,0.0
cmd2,4096,50,0.2,148994,2980,819.6,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4623165843077004,0.13459986075758934,0.026152238715440035,0.0,0.0,0.301564484834671
cmd3,4096,50,0.2,148994,2980,819.255,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3011103195603937,0.11572237126529217,0.0,0.10369968833401799,0.08168825996108353,0.0
